created_at,uri,cid,text,handle,did,replies,likes,reposts,quotes,hashtags,mentions,links,is_reply,reply_to,query,text_clean,bio,user_type
2026-06-19 12:51:48+00:00,at://did:plc:fmfmolqd4gzgvgt5bmtgkbf6/app.bsky.feed.post/3monf2sjaek2w,bafyreigoryxm2fkivrkn62euthekiafblxozqol3p2ha7hap23xgm73g7u,"it's crazy that they're depending on machine translation because there's nuances in language that aren't picked up on by literal translation ... This is so sad 😔 I've heard this is becoming normal within manga publishing too, with seven seas going fully machine translated by next year or something??",ukeblender.bsky.social,did:plc:fmfmolqd4gzgvgt5bmtgkbf6,1.0,2.0,0.0,0.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","it's crazy that they're depending on machine translation because there's nuances in language that aren't picked up on by literal translation ... This is so sad 😔 I've heard this is becoming normal within manga publishing too, with seven seas going fully machine translated by next year or something??",,general
2026-06-19 13:55:57+00:00,at://did:plc:onurlv66npmwhguefdfgtrap/app.bsky.feed.post/3moninjd3ls2e,bafyreibe6ga6hht5daaa4eidtrpaf5mo6nhpr4jibytre52strrexkja5y,"​​Bandai literally embodying Oldtype mentality when they should becoming Newtypes. PAY A HUMAN for a couple of episodes for a ""trial run."" Offering a machine translation is the FASTEST WAY to turn off a demographic because you clearly don't care enough about them to put time and effort in.",zeonicscans.bsky.social,did:plc:onurlv66npmwhguefdfgtrap,3.0,79.0,26.0,1.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","​​Bandai literally embodying Oldtype mentality when they should becoming Newtypes. PAY A HUMAN for a couple of episodes for a ""trial run."" Offering a machine translation is the FASTEST WAY to turn off a demographic because you clearly don't care enough about them to put time and effort in.","ガンダムの収集家・翻訳者。ガンダムの事に関する事をつぶやいてます。日本語が下手なので、先に謝っちゃいます。
A gay, jock-type that collects/translates all things Gundam! 
Discord: http://discord.gg/j2Fa227xsq
Ko-Fi: http://ko-fi.com/zeonicscans
Patreon: http://patreon.com/zeonicscans",professional
2026-06-19 14:01:12+00:00,at://did:plc:sd5j22tuaciqcezjcl5wym7p/app.bsky.feed.post/3moniwvq6qc2v,bafyreier4t5yzqrqg5f7vyn6qddehsffcrex2wcquthycyxpc4s6jlhpiu,"[Skeb] クライアントOCのKoshoさん　戦場おちんぽ漁りデカパイズリ
www.pixiv.net/artworks/146...

リプライにおっぱい内部のカットインと英訳台詞があります。
[machine translation] The reply includes a cut-in of the inside of the breasts and an English translation of the dialogue.

クライアントさん→ @toofuckinghorni.bsky.social",out-tome.bsky.social,did:plc:sd5j22tuaciqcezjcl5wym7p,1.0,10.0,7.0,0.0,[],[{'did': 'did:plc:syeadck5h4wh4m6nt6wsw4c6'}],['https://www.pixiv.net/artworks/146203193'],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""",[Skeb] クライアントOCのKoshoさん 戦場おちんぽ漁りデカパイズリ www.pixiv.net/artworks/146... リプライにおっぱい内部のカットインと英訳台詞があります。 [machine translation] The reply includes a cut-in of the inside of the breasts and an English translation of the dialogue. クライアントさん→ @toofuckinghorni.bsky.social,,general
2026-06-19 14:07:43+00:00,at://did:plc:sd5j22tuaciqcezjcl5wym7p/app.bsky.feed.post/3monjck2hl22v,bafyreied2sqz54454cvjtfkn2bnxf3h5l7vapzegutfvrukxi4seoiz3bu,"リンクが切れていたので再投稿しました。
削除前のポストにいいねやリポスト、ブックマークしてくださった方、申し訳ありません。
[machine translation] I reposted this because the link was broken.
I apologize to everyone who liked, reposted, or bookmarked the original post.

Skebでリクエストを受け付けています。
I'm accepting commission on Skeb.
skeb.jp/@OutTome2",out-tome.bsky.social,did:plc:sd5j22tuaciqcezjcl5wym7p,0.0,4.0,2.0,0.0,[],[],['https://skeb.jp/@OutTome2'],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","リンクが切れていたので再投稿しました。 削除前のポストにいいねやリポスト、ブックマークしてくださった方、申し訳ありません。 [machine translation] I reposted this because the link was broken. I apologize to everyone who liked, reposted, or bookmarked the original post. Skebでリクエストを受け付けています。 I'm accepting commission on Skeb. skeb.jp/@OutTome2",,general
2026-06-19 15:15:10+00:00,at://did:plc:xmjeqqdhsfz7p2lsrrlss7ef/app.bsky.feed.post/3monn35ivp22t,bafyreibfwrlj4x5wzmsiwryjydafc5yw2s54yyevc7l7as7q3yak3b3sfe,"I still rely pretty heavily on dictionaries and some machine translation - for unknown reasons, if I enter TYPEWRITTEN text the translation is better than if I ask it to translate from a scan of the workbook - but there are a lot fewer kanji that I need to look up manually than there used to be.",ninagonzalez.bsky.social,did:plc:xmjeqqdhsfz7p2lsrrlss7ef,1.0,1.0,0.0,0.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","I still rely pretty heavily on dictionaries and some machine translation - for unknown reasons, if I enter TYPEWRITTEN text the translation is better than if I ask it to translate from a scan of the workbook - but there are a lot fewer kanji that I need to look up manually than there used to be.",,general
2026-06-19 15:26:24+00:00,at://did:plc:az6zozxhlieb25by5lcb3ynz/app.bsky.feed.post/3monnpaq4rs2x,bafyreif5x3p37dbildhp6u3thzmfithnlcmwfq54ogtstqluwrqewubqry,"Hm, in my experience, that’s not necessarily true - especially if the LLM has context.

Note that I’m deliberately saying LLM, since machine translation has been “AI” for years before chatgpt.

(One of the issues with eg DeepL is that it disregards context from the preceeding paragraph)",aricake.eu,did:plc:az6zozxhlieb25by5lcb3ynz,1.0,0.0,0.0,0.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","Hm, in my experience, that’s not necessarily true - especially if the LLM has context. Note that I’m deliberately saying LLM, since machine translation has been “AI” for years before chatgpt. (One of the issues with eg DeepL is that it disregards context from the preceeding paragraph)",,general
2026-06-19 15:54:02+00:00,at://did:plc:jgo7hgmrijzfjg7x2dyit6zo/app.bsky.feed.post/3monpankhi222,bafyreihzakfloymctlut2r2mvuvegbkn6wxyh67g3gulukucntr7wn7qay,"I do agree with the sentiment, and that's the annoying part. People rightfully believe ""genAI bad"" because they see the slop CEOs want it to be, but banning *all* forms of AI without nuance is counterproductive. Mind you, it'd debatably include:
- Machine translation
- Intellisense
- Autocorrection",mickeon.bsky.social,did:plc:jgo7hgmrijzfjg7x2dyit6zo,1.0,2.0,0.0,0.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","I do agree with the sentiment, and that's the annoying part. People rightfully believe ""genAI bad"" because they see the slop CEOs want it to be, but banning *all* forms of AI without nuance is counterproductive. Mind you, it'd debatably include: - Machine translation - Intellisense - Autocorrection",,general
2026-06-19 16:16:12+00:00,at://did:plc:54rvmqlghae6nrit7oy4coek/app.bsky.feed.post/3monqibtozc2y,bafyreihznda64itqc4mc7mxsscs5l6mdgj5efef7zulxofuhsxacin3ddu,"That’s a wrap on #EAMT2026! 🚀
We closed out the conference by awarding the Best Paper to Zeynep Yirmibeşoğlu Balal and Tunga Gungor for taking home the #BestPaperAward for their work on ""Diversity-Aware Literary Machine Translation with Multi-Reward Policy Optimization"", massive congratulations! 🏆✨",eamt2026.bsky.social,did:plc:54rvmqlghae6nrit7oy4coek,1.0,0.0,0.0,0.0,"['EAMT2026', 'BestPaperAward']",[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","That’s a wrap on #EAMT2026! 🚀 We closed out the conference by awarding the Best Paper to Zeynep Yirmibeşoğlu Balal and Tunga Gungor for taking home the #BestPaperAward for their work on ""Diversity-Aware Literary Machine Translation with Multi-Reward Policy Optimization"", massive congratulations! 🏆✨",,general
2026-06-19 19:13:16+00:00,at://did:plc:x2iqmq7ycm43edqbx5fvm3uv/app.bsky.feed.post/3moo2ewopvj2a,bafyreicwvfckzkiiuj3mvzefrqllfnchojm6f66s4izngm67frxbit7gd4,"Estimate what machine translation will cost before you run it. Free calculator compares Google, DeepL, Amazon, Azure and GPT-4o mini in USD and LKR, with free tiers applied. https://induwara.lk/tools/ai-translation-cost-calculator #translation #ai",induwaralk.bsky.social,did:plc:x2iqmq7ycm43edqbx5fvm3uv,0.0,0.0,0.0,0.0,[],[],['https://induwara.lk/tools/ai-translation-cost-calculator'],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","Estimate what machine translation will cost before you run it. Free calculator compares Google, DeepL, Amazon, Azure and GPT-4o mini in USD and LKR, with free tiers applied. #translation #ai",,general
2026-06-19 20:03:09+00:00,at://did:plc:gle5jnn3edzaxsmhpqiljepo/app.bsky.feed.post/3moo564ecdc2x,bafyreib23z575mgurifqjzo3ydrppvir3k6zxvzhprtehz3unycwcd7q4i,"I'll read it using machine translation then, not perfect but it works I think XD",chris-ghosty77.bsky.social,did:plc:gle5jnn3edzaxsmhpqiljepo,1.0,1.0,0.0,0.0,[],[],[],True,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,"""machine translation""","I'll read it using machine translation then, not perfect but it works I think XD",,general
